route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Red,377,377_1154_UP,淡水站,,,,,1,
Red,377,377_1155_DN,象山站,,,,,1,
Red,377,377_1156_UP,淡水站,,,,,1,
Red,377,377_1159_DN,象山站,,,,,1,
Red,377,377_1163_DN,象山站,,,,,1,
Red,377,377_1167_DN,象山站,,,,,1,
Red,377,377_1171_DN,象山站,,,,,1,
Red,377,377_1173_DN,象山站,,,,,1,
Red,377,377_1174_UP,淡水站,,,,,1,
Red,377,377_1180_UP,淡水站,,,,,1,
Red,377,377_1195_DN,象山站,,,,,1,
Red,377,377_1198_UP,淡水站,,,,,1,
Red,377,377_1199_DN,象山站,,,,,1,
Red,377,377_1207_DN,象山站,,,,,1,
Red,377,377_1209_DN,象山站,,,,,1,
Red,377,377_1213_DN,象山站,,,,,1,
Red,377,377_1214_UP,淡水站,,,,,1,
Red,377,377_1221_DN,象山站,,,,,1,
Red,377,377_1224_UP,淡水站,,,,,1,
Red,377,377_1228_UP,淡水站,,,,,1,
Red,377,377_1231_DN,象山站,,,,,1,
Red,377,377_1240_UP,淡水站,,,,,1,
Red,377,377_1243_DN,象山站,,,,,1,
Red,377,377_1247_DN,象山站,,,,,1,
Red,377,377_1248_UP,淡水站,,,,,1,
Red,377,377_1250_UP,淡水站,,,,,1,
Red,377,377_1251_DN,象山站,,,,,1,
Red,377,377_1266_UP,淡水站,,,,,1,
Red,377,377_1267_DN,象山站,,,,,1,
Red,377,377_1269_DN,象山站,,,,,1,
Red,377,377_1274_UP,淡水站,,,,,1,
Red,377,377_2050_UP,淡水站,,,,,1,
Red,377,377_2057_DN,大安站,,,,,1,
Red,377,377_2061_DN,大安站,,,,,1,
Red,377,377_2065_DN,大安站,,,,,1,
Red,377,377_2066_UP,北投站,,,,,1,
Red,377,377_2070_UP,北投站,,,,,1,
Red,377,377_2084_UP,北投站,,,,,1,
Red,377,377_2088_UP,淡水站,,,,,1,
Red,377,377_2091_DN,象山站,,,,,1,
Red,377,377_2096_UP,北投站,,,,,1,
Red,377,377_2099_DN,大安站,,,,,1,
Red,377,377_2100_UP,北投站,,,,,1,
Red,377,377_2101_DN,大安站,,,,,1,
