table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,platform_code,en,1,G04_UP,,
stops,platform_code,en,2,G05_DN,,
stops,platform_code,en,1,G05_UP,,
stops,platform_code,en,2,G06_DN,,
stops,platform_code,en,1,G06_UP,,
stops,platform_code,en,2,G07_DN,,
stops,platform_code,en,1,G07_UP,,
stops,platform_code,en,2,G08_DN,,
stops,platform_code,en,1,G08_UP,,
stops,platform_code,en,3,G09_DN,,
stops,platform_code,en,1,G09_UP,,
stops,platform_code,en,4,G10_DN,,
stops,platform_code,en,2,G10_UP,,
stops,platform_code,en,2,G11_DN,,
stops,platform_code,en,1,G11_UP,,
stops,platform_code,en,4,G12_DN,,
stops,platform_code,en,2,G12_UP,,
stops,platform_code,en,2,G13_DN,,
stops,platform_code,en,1,G13_UP,,
stops,platform_code,en,4,G14_DN,,
stops,platform_code,en,3,G14_UP,,
stops,platform_code,en,2,G15_DN,,
stops,platform_code,en,1,G15_UP,,
stops,platform_code,en,2,G16_DN,,
stops,platform_code,en,1,G16_UP,,
stops,platform_code,en,2,G17_DN,,
stops,platform_code,en,1,G17_UP,,
stops,platform_code,en,2,G18_DN,,
stops,platform_code,en,1,G18_UP,,
stops,platform_code,en,2,G19_DN,,
stops,platform_code,en,1,G19_UP,,
stops,platform_code,en,2,O01_DN,,
stops,platform_code,en,1,O01_UP,,
stops,platform_code,en,2,O02_DN,,
stops,platform_code,en,1,O02_UP,,
stops,platform_code,en,2,O03_DN,,
stops,platform_code,en,1,O03_UP,,
stops,platform_code,en,2,O04_DN,,
stops,platform_code,en,1,O04_UP,,
stops,platform_code,en,4,O05_DN,,
stops,platform_code,en,2,O05_UP,,
stops,platform_code,en,3,O06_DN,,
stops,platform_code,en,1,O06_UP,,
stops,platform_code,en,4,O07_DN,,
stops,platform_code,en,3,O07_UP,,
stops,platform_code,en,2,O08_DN,,
stops,platform_code,en,1,O08_UP,,
stops,platform_code,en,2,O09_DN,,
stops,platform_code,en,1,O09_UP,,
stops,platform_code,en,2,O10_DN,,
stops,platform_code,en,1,O10_UP,,
stops,platform_code,en,4,O11_DN,,
stops,platform_code,en,3,O11_UP,,
stops,platform_code,en,2,O12_DN,,
stops,platform_code,en,1,O12_UP,,
stops,platform_code,en,2,O13_DN,,
stops,platform_code,en,1,O13_UP,,
stops,platform_code,en,2,O14_DN,,
stops,platform_code,en,1,O14_UP,,
stops,platform_code,en,2,O15_DN,,
stops,platform_code,en,1,O15_UP,,
stops,platform_code,en,2,O16_DN,,
stops,platform_code,en,1,O16_UP,,
stops,platform_code,en,2,O17_DN,,
stops,platform_code,en,1,O17_UP,,
stops,platform_code,en,2,O18_DN,,
stops,platform_code,en,1,O18_UP,,
stops,platform_code,en,2,O19_DN,,
stops,platform_code,en,1,O19_UP,,
stops,platform_code,en,2,O20_DN,,
stops,platform_code,en,1,O20_UP,,
stops,platform_code,en,2,O21_DN,,
stops,platform_code,en,1,O21_UP,,
stops,platform_code,en,2,O50_DN,,
stops,platform_code,en,1,O50_UP,,
stops,platform_code,en,2,O51_DN,,
stops,platform_code,en,1,O51_UP,,
stops,platform_code,en,2,O52_DN,,
stops,platform_code,en,1,O52_UP,,
stops,platform_code,en,2,O53_DN,,
stops,platform_code,en,1,O53_UP,,
stops,platform_code,en,2,O54_DN,,
stops,platform_code,en,1,O54_UP,,
stops,platform_code,en,2,R02_DN,,
stops,platform_code,en,1,R02_UP,,
stops,platform_code,en,2,R03_DN,,
stops,platform_code,en,1,R03_UP,,
stops,platform_code,en,2,R04_DN,,
stops,platform_code,en,1,R04_UP,,
stops,platform_code,en,2,R05_DN,,
stops,platform_code,en,1,R05_UP,,
